category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
social-studies	College/University	The incredible history of China's terracotta warriors	Megan Campisi and Pen-Pen Chen	04:32
social-studies	College/University	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
social-studies	College/University	How people rationalize fraud	Kelly Richmond Pope	04:35
social-studies	College/University	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
social-studies	College/University	The complex geometry of Islamic design	Eric Broug	05:07
social-studies	College/University	The wars that inspired Game of Thrones	Alex Gendler	06:01
social-studies	College/University	What causes economic bubbles?	Prateek Singh	04:17
social-studies	College/University	How to spot a counterfeit bill	Tien Nguyen	04:06
social-studies	College/University	What did democracy really mean in Athens?	Melissa Schwartzberg	04:52
social-studies	College/University	Plato’s Allegory of the Cave	Alex Gendler	04:33
social-studies	College/University	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
social-studies	College/University	Rhythm in a box: The story of the cajon drum	Paul Jennings	03:30
social-studies	College/University	History vs. Richard Nixon	Alex Gendler	05:40
social-studies	College/University	The history of museums	J. V. Maranto	05:44
social-studies	College/University	Why are some people left-handed?	Daniel M. Abrams	05:07
social-studies	College/University	How do dogs "see" with their noses?	Alexandra Horowitz	04:28
social-studies	College/University	How does your smartphone know your location?	Wilton L. Virgo	05:03
social-studies	College/University	How do vaccines work?	Kelwalin Dhanasarnsombut	04:36
social-studies	College/University	What is a gift economy?	Alex Gendler	04:06
social-studies	College/University	The Atlantic slave trade: What too few textbooks told you	Anthony Hazard	05:39
social-studies	College/University	The great conspiracy against Julius Caesar	Kathryn Tempest	05:58
social-studies	College/University	At what moment are you dead?	Randall Hayes	05:34
social-studies	College/University	The hidden worlds within natural history museums	Joshua Drew	04:27
social-studies	College/University	How to understand power	Eric Liu	07:02
social-studies	College/University	The language of lying	Noah Zandan	05:42
social-studies	College/University	A Vanishing Island Off the Louisiana Coast	09:15
social-studies	College/University	History vs. Christopher Columbus	Alex Gendler	05:55
social-studies	College/University	A brief history of melancholy	Courtney Stephens	05:29
social-studies	College/University	Corruption, wealth and beauty: The history of the Venetian gondola	Laura Morelli	04:51
social-studies	College/University	What did dogs teach humans about diabetes?	Duncan C. Ferguson	03:48
social-studies	College/University	The past, present and future of the bubonic plague	Sharon N. DeWitte	04:13
social-studies	College/University	The history of the barometer (and how it works)	Asaf Bar-Yosef	04:46
social-studies	College/University	Music and emotion through time	Michael Tilson Thomas	20:14
social-studies	College/University	The many meanings of Michelangelo's Statue of David	James Earle	03:19
social-studies	College/University	It's a church. It's a mosque. It's Hagia Sophia.	Kelly Wall	05:12
social-studies	College/University	The Earth is full	Paul Gilding	16:47
social-studies	College/University	What you might not know about the Declaration of Independence	Kenneth C. Davis	03:39
social-studies	College/University	What gives a dollar bill its value?	Doug Levinson	03:52
social-studies	College/University	How to choose your news	Damon Brown	04:49
social-studies	College/University	A digital reimagining of Gettysburg	Anne Knowles	09:04
social-studies	College/University	Why good leaders make you feel safe	Simon Sinek	12:00
social-studies	College/University	Population pyramids: Powerful predictors of the future	Kim Preshoff	05:02
social-studies	College/University	We need to talk about an injustice	Bryan Stevenson	23:42
social-studies	College/University	Not all scientific studies are created equal	David H. Schwartz	04:27
social-studies	College/University	Lessons from Auschwitz: The power of our words	Benjamin Zander	01:21
social-studies	College/University	History vs. Vladimir Lenin	Alex Gendler	06:43
social-studies	College/University	Islam, the Quran, and the Five Pillars	12:53
social-studies	College/University	Beware online "filter bubbles"	Eli Pariser	09:05
social-studies	College/University	Music and creativity in Ancient Greece	Tim Hansen	04:47
social-studies	College/University	Woman burned by McDonald's hot coffee, then the news media	12:15
social-studies	College/University	The five major world religions	John Bellaimey	11:10
social-studies	College/University	The fight for the right to vote in the United States	Nicki Beaman Griffin	04:31
social-studies	College/University	Vampires: Folklore, fantasy and fact	Michael Molina	06:57
social-studies	College/University	How we conquered the deadly smallpox virus	Simona Zompi	04:34
social-studies	College/University	Kabuki: The people's dramatic art	Amanda Mattes	04:16
social-studies	College/University	America's native prisoners of war	Aaron Huey	15:28
social-studies	College/University	Urbanization and the evolution of cities across 10,000 years	Vance Kite	04:09
social-studies	College/University	The walk from "no" to "yes"	William Ury	18:46
social-studies	College/University	The moral dangers of non-lethal weapons	Stephen Coleman	17:33
social-studies	College/University	Behind the Great Firewall of China	Michael Anti	18:52
social-studies	College/University	Equality, sports, and Title IX	Erin Buzuvis and Kristine Newhall	04:35
social-studies	College/University	The contributions of female explorers	Courtney Stephens	04:26
social-studies	College/University	Development of English drama	Mindy Ploeckelmann	03:47
social-studies	College/University	Gyotaku: The ancient Japanese art of printing fish	K. Erica Dodge	03:38
social-studies	College/University	Looks aren't everything. Believe me, I'm a model	Cameron Russell	09:38
social-studies	College/University	Actually, the world isn't flat	Pankaj Ghemawat	17:04
social-studies	College/University	Four sisters in Ancient Rome	Ray Laurence	08:39
social-studies	College/University	The Watergate scandal: United States vs. Nixon	08:50
social-studies	College/University	The mathematics of history	Jean-Baptiste Michel	04:27
social-studies	College/University	Big Data	Tim Smith	06:08
social-studies	College/University	Hero: A lesson from a volunteer firefighter	04:41
social-studies	College/University	Mysteries of vernacular: Hearse	Jessica Oreck	02:14
social-studies	College/University	Networking for the networking averse	Lisa Green Chau	03:31
social-studies	College/University	Who is Alexander von Humboldt?	George Mehler	04:22
social-studies	College/University	Want to be happier? Stay in the moment	Matt Killingsworth	10:17
social-studies	College/University	The lost art of democratic debate	Michael Sandel	19:43
social-studies	College/University	How farming planted seeds for the Internet	Patricia Russac	03:59
social-studies	College/University	The infamous and ingenious Ho Chi Minh Trail	Cameron Paterson	03:55
social-studies	College/University	How poachers became caretakers	John Kasaona	15:47
social-studies	College/University	How state budgets are breaking US schools	Bill Gates	11:32
social-studies	College/University	The tribes we lead	Seth Godin	17:27
social-studies	College/University	Does racism affect how you vote?	Nate Silver	09:14
social-studies	College/University	How art gives shape to cultural change	Thelma Golden	12:29
social-studies	College/University	Distorting Madonna in Medieval art	James Earle	03:11
social-studies	College/University	Inventing the American presidency	Kenneth C. Davis	04:01
social-studies	College/University	The search for King Richard III	07:39
social-studies	College/University	Our buggy moral code	Dan Ariely	16:52
social-studies	College/University	Our loss of wisdom	Barry Schwartz	21:20
social-studies	College/University	Learning from past presidents	Doris Kearns Goodwin	19:17
social-studies	College/University	Digging for humanity's origins	Louise Leakey	15:34
social-studies	College/University	Is light a particle or a wave?	Colm Kelleher	04:24
social-studies	College/University	How to find the true face of Leonardo	Siegfried Woldhek	04:22
social-studies	College/University	Tales of passion	Isabel Allende	18:31
social-studies	College/University	A tap dancer's craft	Andrew Nemr	05:52
social-studies	College/University	Why is there a "b" in doubt?	Gina Cooke	03:28
social-studies	College/University	Solving the puzzle of the periodic table	Eric Rosado	04:19
social-studies	College/University	The oddities of the first American election	Kenneth C. Davis	04:07
social-studies	College/University	Does your vote count? The Electoral College explained	Christina Greer	05:22
social-studies	College/University	A glimpse of teenage life in ancient Rome	Ray Laurence	06:35
social-studies	College/University	Gerrymandering: How drawing jagged lines can impact an election	Christina Greer	03:53
social-studies	College/University	Capturing authentic narratives	Michele Weldon	03:19
social-studies	College/University	On being a woman and a diplomat	Madeleine Albright	13:00
social-studies	College/University	See Yemen through my eyes	Nadia Al-Sakkaf	13:39
social-studies	College/University	Why nations should pursue "soft" power	Shashi Tharoor	17:54
social-studies	College/University	Why do Americans vote on Tuesdays?	Jacob Soboroff	03:28
social-studies	College/University	How social media can make history	Clay Shirky	15:49
social-studies	College/University	A global culture to fight extremism	Maajid Nawaz	17:54
social-studies	College/University	The moral roots of liberals and conservatives	Jonathan Haidt	18:40
social-studies	College/University	Navigating Our Global Future	Ian Goldin	07:07
social-studies	College/University	Don't misrepresent Africa	Leslie Dodson	11:26
social-studies	College/University	The real origin of the franchise	Sir Harold Evans	05:49
social-studies	College/University	How containerization shaped the modern world	Sir Harold Evans	04:47
social-studies	Other	Why Are Bad Words Bad?	10:46
social-studies	Other	The Case For Andy Warhol	03:42
social-studies	Other	What causes addiction?	05:42
social-studies	Other	The missing plague that could have changed history	12:08
social-studies	Other	How to fly around the world without fuel	04:13
social-studies	Other	It's not you. Claw machines are rigged.	03:51
social-studies	Other	What If Everyone Jumped at the Same Time?	07:13
social-studies	Other	Dr. Sally Ride on Dumb Questions	07:05
social-studies	Other	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
social-studies	Other	Einstein's Theory of General Relativity	03:05
social-studies	Other	The World's Roundest Object (and Why it Exists)	11:44
social-studies	Other	Democracy	A short introduction	03:10
teaching-education	Elementary/Primary	How did clouds get their names?	Richard Hamblyn	05:07
teaching-education	Elementary/Primary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
teaching-education	Elementary/Primary	Who was Confucius?	Bryan W. Van Norden	04:30
teaching-education	Elementary/Primary	The sweaty teacher’s lament	Justin Lamb	03:11
teaching-education	Middle School/Lower Secondary	How did clouds get their names?	Richard Hamblyn	05:07
teaching-education	Middle School/Lower Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
teaching-education	Middle School/Lower Secondary	Who was Confucius?	Bryan W. Van Norden	04:30
teaching-education	Middle School/Lower Secondary	The benefits of a bilingual brain	Mia Nacamulli	05:04
teaching-education	Middle School/Lower Secondary	The sweaty teacher’s lament	Justin Lamb	03:11
teaching-education	High School/Upper Secondary	How did clouds get their names?	Richard Hamblyn	05:07
teaching-education	High School/Upper Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
teaching-education	High School/Upper Secondary	Who was Confucius?	Bryan W. Van Norden	04:30
teaching-education	High School/Upper Secondary	The benefits of a bilingual brain	Mia Nacamulli	05:04
teaching-education	High School/Upper Secondary	What did democracy really mean in Athens?	Melissa Schwartzberg	04:52
teaching-education	High School/Upper Secondary	Why good leaders make you feel safe	Simon Sinek	12:00
teaching-education	High School/Upper Secondary	How to learn? From mistakes	Diana Laufenberg	10:06
teaching-education	High School/Upper Secondary	Dare to educate Afghan girls	Shabana Basij-Rasikh	09:37
teaching-education	High School/Upper Secondary	Let's use video to reinvent education	Salman Khan	20:28
teaching-education	High School/Upper Secondary	Open letter to the president: Physics education	03:49
teaching-education	High School/Upper Secondary	Some study that I used to know: What do you remember from high school?	02:49
teaching-education	College/University	Let's make history…by recording it	StoryCorps & TED Prize	03:18
teaching-education	College/University	The benefits of a bilingual brain	Mia Nacamulli	05:04
teaching-education	College/University	What did democracy really mean in Athens?	Melissa Schwartzberg	04:52
teaching-education	College/University	Why good leaders make you feel safe	Simon Sinek	12:00
teaching-education	College/University	How to learn? From mistakes	Diana Laufenberg	10:06
teaching-education	College/University	Dare to educate Afghan girls	Shabana Basij-Rasikh	09:37
teaching-education	College/University	Let's use video to reinvent education	Salman Khan	20:28
teaching-education	College/University	Open letter to the president: Physics education	03:49
teaching-education	College/University	Some study that I used to know: What do you remember from high school?	02:49
thinking-learning	Elementary/Primary	This Video Will Make You Angry	07:26
thinking-learning	Elementary/Primary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
thinking-learning	Elementary/Primary	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
thinking-learning	Elementary/Primary	How playing sports benefits your body ... and your brain	Leah Lagos and Jaspal Ricky Singh	03:47
thinking-learning	Elementary/Primary	4 Logical Paradoxes	07:26
thinking-learning	Elementary/Primary	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
thinking-learning	Elementary/Primary	Are You A Good Listener?	04:58
thinking-learning	Elementary/Primary	How did clouds get their names?	Richard Hamblyn	05:07
thinking-learning	Elementary/Primary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
thinking-learning	Elementary/Primary	Who was Confucius?	Bryan W. Van Norden	04:30
thinking-learning	Elementary/Primary	What are the universal human rights?	Benedetta Berti	04:47
thinking-learning	Elementary/Primary	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
thinking-learning	Elementary/Primary	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
thinking-learning	Elementary/Primary	When to use apostrophes	Laura McClure	03:14
thinking-learning	Elementary/Primary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
thinking-learning	Elementary/Primary	The complex geometry of Islamic design	Eric Broug	05:07
thinking-learning	Elementary/Primary	How art can help you analyze	Amy E. Herman	04:50
thinking-learning	Elementary/Primary	How to set the table	Anna Post	03:27
thinking-learning	Elementary/Primary	Working backward to solve problems	Maurice Ashley	05:57
thinking-learning	Middle School/Lower Secondary	This Video Will Make You Angry	07:26
thinking-learning	Middle School/Lower Secondary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
thinking-learning	Middle School/Lower Secondary	Why the metric system matters	Matt Anticole	05:08
thinking-learning	Middle School/Lower Secondary	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
thinking-learning	Middle School/Lower Secondary	Can you solve the passcode riddle?	Ganesh Pai	04:08
thinking-learning	Middle School/Lower Secondary	How playing sports benefits your body ... and your brain	Leah Lagos and Jaspal Ricky Singh	03:47
thinking-learning	Middle School/Lower Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
thinking-learning	Middle School/Lower Secondary	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
thinking-learning	Middle School/Lower Secondary	4 Logical Paradoxes	07:26
thinking-learning	Middle School/Lower Secondary	Can you solve the control room riddle?	Dennis Shasha	04:01
thinking-learning	Middle School/Lower Secondary	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
thinking-learning	Middle School/Lower Secondary	Are You A Good Listener?	04:58
thinking-learning	Middle School/Lower Secondary	The psychology behind irrational decisions	Sara Garofalo	04:39
thinking-learning	Middle School/Lower Secondary	What is abstract expressionism?	Sarah Rosenthal	04:50
thinking-learning	Middle School/Lower Secondary	The surprising reason you feel awful when you're sick	Marco A. Sotomayor	05:01
thinking-learning	Middle School/Lower Secondary	Should you trust unanimous decisions?	Derek Abbott	04:03
thinking-learning	Middle School/Lower Secondary	Why the insect brain is so incredible	Anna Stöckl	04:23
thinking-learning	Middle School/Lower Secondary	How to spot a fad diet	Mia Nacamulli	04:34
thinking-learning	Middle School/Lower Secondary	Can you solve the locker riddle?	Lisa Winer	03:50
thinking-learning	Middle School/Lower Secondary	5 tips to improve your critical thinking	Samantha Agoos	04:30
thinking-learning	Middle School/Lower Secondary	Can wildlife adapt to climate change?	Erin Eastwood	04:47
thinking-learning	Middle School/Lower Secondary	How miscommunication happens (and how to avoid it)	Katherine Hampsten	04:33
thinking-learning	Middle School/Lower Secondary	Can you solve the temple riddle?	Dennis E. Shasha	04:13
thinking-learning	Middle School/Lower Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
thinking-learning	Middle School/Lower Secondary	The surprising (and invisible) signatures of sea creatures	Kakani Katija	06:38
thinking-learning	Middle School/Lower Secondary	How do we know what color dinosaurs were?	Len Bloch	04:24
thinking-learning	Middle School/Lower Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
thinking-learning	Middle School/Lower Secondary	Can you solve "Einstein’s Riddle"?	Dan Van der Vieren	05:13
thinking-learning	Middle School/Lower Secondary	How did clouds get their names?	Richard Hamblyn	05:07
thinking-learning	Middle School/Lower Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
thinking-learning	Middle School/Lower Secondary	What’s the difference between a scientific law and theory?	Matt Anticole	05:12
thinking-learning	Middle School/Lower Secondary	Would you opt for a life with no pain?	Hayley Levitt and Bethany Rickwald	04:10
thinking-learning	Middle School/Lower Secondary	How to write descriptively	Nalo Hopkinson	04:42
thinking-learning	Middle School/Lower Secondary	Who was Confucius?	Bryan W. Van Norden	04:30
thinking-learning	Middle School/Lower Secondary	How a few scientists transformed the way we think about disease	Tien Nguyen	04:40
thinking-learning	Middle School/Lower Secondary	What are the universal human rights?	Benedetta Berti	04:47
thinking-learning	Middle School/Lower Secondary	Can you solve the prisoner hat riddle?	Alex Gendler	04:35
thinking-learning	Middle School/Lower Secondary	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
thinking-learning	Middle School/Lower Secondary	How memories form and how we lose them	Catharine Young	04:20
thinking-learning	Middle School/Lower Secondary	The treadmill's dark and twisted past	Conor Heffernan	04:10
thinking-learning	Middle School/Lower Secondary	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
thinking-learning	Middle School/Lower Secondary	How misused modifiers can hurt your writing	Emma Bryce	03:21
thinking-learning	Middle School/Lower Secondary	Can you solve the bridge riddle?	Alex Gendler	03:50
thinking-learning	Middle School/Lower Secondary	How false news can spread	Noah Tavlin	03:42
thinking-learning	Middle School/Lower Secondary	Why do some people go bald?	Sarthak Sinha	04:49
thinking-learning	Middle School/Lower Secondary	Buffalo buffalo buffalo: One-word sentences and how they work	Emma Bryce	03:28
thinking-learning	Middle School/Lower Secondary	When to use apostrophes	Laura McClure	03:14
thinking-learning	Middle School/Lower Secondary	Inside the minds of animals	Bryan B Rasmussen	05:13
thinking-learning	Middle School/Lower Secondary	How to use a semicolon	Emma Bryce	03:36
thinking-learning	Middle School/Lower Secondary	The benefits of a bilingual brain	Mia Nacamulli	05:04
thinking-learning	Middle School/Lower Secondary	How plants tell time	Dasha Savage	04:20
thinking-learning	Middle School/Lower Secondary	How to detect a supernova	Samantha Kuula	04:42
thinking-learning	Middle School/Lower Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
thinking-learning	Middle School/Lower Secondary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
thinking-learning	Middle School/Lower Secondary	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
thinking-learning	Middle School/Lower Secondary	The complex geometry of Islamic design	Eric Broug	05:07
thinking-learning	Middle School/Lower Secondary	Sunlight is way older than you think	Sten Odenwald	04:37
thinking-learning	Middle School/Lower Secondary	How to spot a counterfeit bill	Tien Nguyen	04:06
thinking-learning	Middle School/Lower Secondary	What's the difference between accuracy and precision?	Matt Anticole	04:53
thinking-learning	Middle School/Lower Secondary	How brass instruments work	Al Cannon	04:12
thinking-learning	Middle School/Lower Secondary	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
thinking-learning	Middle School/Lower Secondary	Can robots be creative?	Gil Weinberg	05:27
thinking-learning	Middle School/Lower Secondary	Why it’s so hard to cure HIV/AIDS	Janet Iwasa	04:31
thinking-learning	Middle School/Lower Secondary	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
thinking-learning	Middle School/Lower Secondary	Why are some people left-handed?	Daniel M. Abrams	05:07
thinking-learning	Middle School/Lower Secondary	I Forgot My Phone	02:11
thinking-learning	Middle School/Lower Secondary	How do dogs "see" with their noses?	Alexandra Horowitz	04:28
thinking-learning	Middle School/Lower Secondary	How do vaccines work?	Kelwalin Dhanasarnsombut	04:36
thinking-learning	Middle School/Lower Secondary	The evolution of the human eye	Joshua Harvey	04:44
thinking-learning	Middle School/Lower Secondary	The benefits of a good night's sleep	Shai Marcu	05:45
thinking-learning	Middle School/Lower Secondary	I'm Batman	Amy Wray	05:48
thinking-learning	Middle School/Lower Secondary	The great brain debate	Ted Altschuler	05:20
thinking-learning	Middle School/Lower Secondary	Why elephants never forget	Alex Gendler	05:23
thinking-learning	Middle School/Lower Secondary	How playing an instrument benefits your brain	Anita Collins	04:45
thinking-learning	Middle School/Lower Secondary	Not all scientific studies are created equal	David H. Schwartz	04:27
thinking-learning	Middle School/Lower Secondary	The Infinite Hotel Paradox	Jeff Dekofsky	06:00
thinking-learning	Middle School/Lower Secondary	How art can help you analyze	Amy E. Herman	04:50
thinking-learning	Middle School/Lower Secondary	The surprising truth about what motivates us	10:48
thinking-learning	Middle School/Lower Secondary	How to set the table	Anna Post	03:27
thinking-learning	Middle School/Lower Secondary	Biofuels and bioprospecting for beginners	Craig A. Kohn	03:53
thinking-learning	Middle School/Lower Secondary	Leaders and followers: what tango teaches	07:33
thinking-learning	Middle School/Lower Secondary	Networking for the networking averse	Lisa Green Chau	03:31
thinking-learning	Middle School/Lower Secondary	Working backward to solve problems	Maurice Ashley	05:57
thinking-learning	Middle School/Lower Secondary	Calculating the odds of intelligent alien life	Jill Tarter	07:28
thinking-learning	Middle School/Lower Secondary	The key to media's hidden codes	Ben Beaton	06:00
thinking-learning	High School/Upper Secondary	This Video Will Make You Angry	07:26
thinking-learning	High School/Upper Secondary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
thinking-learning	High School/Upper Secondary	Why the metric system matters	Matt Anticole	05:08
thinking-learning	High School/Upper Secondary	How the bra was invented | Moments of Vision 1	Jessica Oreck	01:43
thinking-learning	High School/Upper Secondary	Can you solve the passcode riddle?	Ganesh Pai	04:08
thinking-learning	High School/Upper Secondary	How playing sports benefits your body ... and your brain	Leah Lagos and Jaspal Ricky Singh	03:47
thinking-learning	High School/Upper Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
thinking-learning	High School/Upper Secondary	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
thinking-learning	High School/Upper Secondary	4 Logical Paradoxes	07:26
thinking-learning	High School/Upper Secondary	Can you solve the control room riddle?	Dennis Shasha	04:01
thinking-learning	High School/Upper Secondary	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
thinking-learning	High School/Upper Secondary	Are You A Good Listener?	04:58
thinking-learning	High School/Upper Secondary	The psychology behind irrational decisions	Sara Garofalo	04:39
thinking-learning	High School/Upper Secondary	What is abstract expressionism?	Sarah Rosenthal	04:50
thinking-learning	High School/Upper Secondary	The surprising reason you feel awful when you're sick	Marco A. Sotomayor	05:01
thinking-learning	High School/Upper Secondary	Should you trust unanimous decisions?	Derek Abbott	04:03
thinking-learning	High School/Upper Secondary	Why the insect brain is so incredible	Anna Stöckl	04:23
thinking-learning	High School/Upper Secondary	How to spot a fad diet	Mia Nacamulli	04:34
thinking-learning	High School/Upper Secondary	Can you solve the locker riddle?	Lisa Winer	03:50
thinking-learning	High School/Upper Secondary	The poet who painted with his words	Geneviève Emy	04:16
thinking-learning	High School/Upper Secondary	5 tips to improve your critical thinking	Samantha Agoos	04:30
thinking-learning	High School/Upper Secondary	Can wildlife adapt to climate change?	Erin Eastwood	04:47
thinking-learning	High School/Upper Secondary	Can you solve the frog riddle?	Derek Abbott	04:31
thinking-learning	High School/Upper Secondary	How miscommunication happens (and how to avoid it)	Katherine Hampsten	04:33
thinking-learning	High School/Upper Secondary	The controversial origins of the Encyclopedia	Addison Anderson	05:21
thinking-learning	High School/Upper Secondary	History vs. Napoleon Bonaparte	Alex Gendler	05:22
thinking-learning	High School/Upper Secondary	Can you solve the temple riddle?	Dennis E. Shasha	04:13
thinking-learning	High School/Upper Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
thinking-learning	High School/Upper Secondary	How statistics can be misleading	Mark Liddell	04:19
thinking-learning	High School/Upper Secondary	The surprising (and invisible) signatures of sea creatures	Kakani Katija	06:38
thinking-learning	High School/Upper Secondary	How do we know what color dinosaurs were?	Len Bloch	04:24
thinking-learning	High School/Upper Secondary	Forget shopping. Soon you'll download your new clothes	Danit Peleg	06:23
thinking-learning	High School/Upper Secondary	The ethical dilemma of self-driving cars	Patrick Lin	04:16
thinking-learning	High School/Upper Secondary	How exposing anonymous companies could cut down on crime	Global Witness	04:07
thinking-learning	High School/Upper Secondary	Can you solve "Einstein’s Riddle"?	Dan Van der Vieren	05:13
thinking-learning	High School/Upper Secondary	How did clouds get their names?	Richard Hamblyn	05:07
thinking-learning	High School/Upper Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
thinking-learning	High School/Upper Secondary	What’s the difference between a scientific law and theory?	Matt Anticole	05:12
thinking-learning	High School/Upper Secondary	Would you opt for a life with no pain?	Hayley Levitt and Bethany Rickwald	04:10
thinking-learning	High School/Upper Secondary	How to write descriptively	Nalo Hopkinson	04:42
thinking-learning	High School/Upper Secondary	How do hard drives work?	Kanawat Senanan	05:12
thinking-learning	High School/Upper Secondary	Who was Confucius?	Bryan W. Van Norden	04:30
thinking-learning	High School/Upper Secondary	How computers translate human language	Ioannis Papachimonas	04:45
thinking-learning	High School/Upper Secondary	How a few scientists transformed the way we think about disease	Tien Nguyen	04:40
thinking-learning	High School/Upper Secondary	What are the universal human rights?	Benedetta Berti	04:47
thinking-learning	High School/Upper Secondary	The race to sequence the human genome	Tien Nguyen	05:00
thinking-learning	High School/Upper Secondary	Can you solve the prisoner hat riddle?	Alex Gendler	04:35
thinking-learning	High School/Upper Secondary	What "Orwellian" really means	Noah Tavlin	05:32
thinking-learning	High School/Upper Secondary	The incredible collaboration behind the International Space Station	Tien Nguyen	04:58
thinking-learning	High School/Upper Secondary	How memories form and how we lose them	Catharine Young	04:20
thinking-learning	High School/Upper Secondary	The treadmill's dark and twisted past	Conor Heffernan	04:10
thinking-learning	High School/Upper Secondary	What makes the Great Wall of China so extraordinary	Megan Campisi and Pen-Pen Chen	04:30
thinking-learning	High School/Upper Secondary	How misused modifiers can hurt your writing	Emma Bryce	03:21
thinking-learning	High School/Upper Secondary	Can you solve the bridge riddle?	Alex Gendler	03:50
thinking-learning	High School/Upper Secondary	How false news can spread	Noah Tavlin	03:42
thinking-learning	High School/Upper Secondary	Why do some people go bald?	Sarthak Sinha	04:49
thinking-learning	High School/Upper Secondary	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
thinking-learning	High School/Upper Secondary	Buffalo buffalo buffalo: One-word sentences and how they work	Emma Bryce	03:28
thinking-learning	High School/Upper Secondary	When to use apostrophes	Laura McClure	03:14
thinking-learning	High School/Upper Secondary	Inside the minds of animals	Bryan B Rasmussen	05:13
thinking-learning	High School/Upper Secondary	Why tragedies are alluring	David E. Rivas	04:26
thinking-learning	High School/Upper Secondary	How to use a semicolon	Emma Bryce	03:36
thinking-learning	High School/Upper Secondary	The benefits of a bilingual brain	Mia Nacamulli	05:04
thinking-learning	High School/Upper Secondary	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
thinking-learning	High School/Upper Secondary	How plants tell time	Dasha Savage	04:20
thinking-learning	High School/Upper Secondary	How to detect a supernova	Samantha Kuula	04:42
thinking-learning	High School/Upper Secondary	How people rationalize fraud	Kelly Richmond Pope	04:35
thinking-learning	High School/Upper Secondary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
thinking-learning	High School/Upper Secondary	Will future spacecraft fit in our pockets?	Dhonam Pemba	04:37
thinking-learning	High School/Upper Secondary	How I responded to sexism in gaming with empathy	Lilian Chen	07:00
thinking-learning	High School/Upper Secondary	The complex geometry of Islamic design	Eric Broug	05:07
thinking-learning	High School/Upper Secondary	Sunlight is way older than you think	Sten Odenwald	04:37
thinking-learning	High School/Upper Secondary	What is leukemia?	Danilo Allegra and Dania Puggioni	04:33
thinking-learning	High School/Upper Secondary	How to spot a counterfeit bill	Tien Nguyen	04:06
thinking-learning	High School/Upper Secondary	What's the difference between accuracy and precision?	Matt Anticole	04:53
thinking-learning	High School/Upper Secondary	How brass instruments work	Al Cannon	04:12
thinking-learning	High School/Upper Secondary	Earworms: Those songs that get stuck in your head	Elizabeth Hellmuth Margulis	04:46
thinking-learning	High School/Upper Secondary	Can robots be creative?	Gil Weinberg	05:27
thinking-learning	High School/Upper Secondary	Plato’s Allegory of the Cave	Alex Gendler	04:33
thinking-learning	High School/Upper Secondary	Why it’s so hard to cure HIV/AIDS	Janet Iwasa	04:31
thinking-learning	High School/Upper Secondary	The real story behind Archimedes’ Eureka!	Armand D'Angour	04:42
thinking-learning	High School/Upper Secondary	The history of museums	J. V. Maranto	05:44
thinking-learning	High School/Upper Secondary	Why are some people left-handed?	Daniel M. Abrams	05:07
thinking-learning	High School/Upper Secondary	I Forgot My Phone	02:11
